title,summary
Jed Buchwald: Isaac Newton and the Philosophy of Science | Lex Fridman Podcast #214,"Jed Buckwald is a professor of history and a philosopher of science at Caltech. Interested especially in the development of scientific concepts and the instruments used to create and explore new effects and ideas in science. This is the Lex Friedman podcast and here is my conversation with Jed Buckwald. Does science progress via paradigm shifts and revolutions as philosopher Thomas Kuhn said, or does it progress gradually? What do you think? Well, I got into this field because I was Tom Kuhn's research assistant 50 years ago, 52 years ago. He pulled me into it out of physics instead. So I know his work pretty well. And in the years when I was at MIT running an institute, he was then in the philosophy department, used to come over all the time to the talks we held and so on. So what would I say about that? He, of course, developed his ideas a lot over the years. The thing that he's famous for, the str"
"Sergey Nazarov: Chainlink, Smart Contracts, and Oracle Networks | Lex Fridman Podcast #181",And there are interactions between machines . . . there are interactions between humans . . . there are interactions between machines . . . there are interactions between machines . . . there are interactions between machines . . . there are interactions between machines . . . there are interactions between machines . . . there are interactions between machines . . . there are interactions between machines . . . there are interactions between machines . . . there are interactions between machines . . . there are interactions between machines . . . there are interactions between machines . . . there are interactions between machines . . . there are interactions between machines . . . there are interactions between machines . . . there are interactions between machines . . . there are interactions between machines . . . there are interactions between machines . . . there are interactions between machines . . . there are interactions between machines . . . there are interactions between machines . . . there are interactions between machines . . . there are
"Stephen Wolfram: Fundamental Theory of Physics, Life, and the Universe | Lex Fridman Podcast #124","This is a conversation with Stephen Wolfram, his second time on the podcast. He's a computer scientist, mathematician, theoretical physicist, and the founder and CEO of Wolfram Research, a company behind Mathematica, Wolfram Alpha, Wolfram Language, and the new Wolfram Physics project. He's the author of several books, including A New Kind of Science and the new book A Project to Find the Fundamental Theory of Physics. This second round of our conversation is primarily focused on this latter endeavor of searching for the physics of our universe in simple rules that do their work on hypographs and eventually generate the infrastructure from which space, time, and all of modern physics can emerge. Quick summary of the sponsors, SimpliSafe, Sun Basket, and Masterclass. Please check out these sponsors to get a discount and to support this podcast."
"Philip Goff: Consciousness, Panpsychism, and the Philosophy of Mind | Lex Fridman Podcast #261","Philip Goff, philosopher specializing in the philosophy of mind and consciousness. He is a panpsychist, which means he believes that consciousness is a fundamental and ubiquitous feature of physical reality, of all matter in the universe. He is the author of Galileo's Error, Foundations for a New Science of Consciousness, and is the host of an excellent podcast called Mind Chat. This is the Lex Friedman Podcast."
"Oriol Vinyals: DeepMind AlphaStar, StarCraft, and Language | Lex Fridman Podcast #20","Ariol Vinales is a senior research scientist at Google DeepMind, and before that, he was at Google Brain and Berkeley. He's behind some of the biggest papers and ideas in AI, including sequence-to-sequence learning, audio generation, image captioning, neural machine translation, and, of course, reinforcement learning. He's a lead researcher of the AlphaStar project, creating an agent that defeated a top professional player at the game of StarCraft."
"Ray Dalio: Principles, the Economic Machine, AI & the Arc of Life | Lex Fridman Podcast #54","AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger than deep learning, big AI is much bigger"
Michael Malice: Totalitarianism and Anarchy | Lex Fridman Podcast #200,"Michael Malus is an author, anarchist, and simpleton, and I'm proud to call him my friend. He makes me smile, he makes me think, and he makes me wonder why I sound so sleepy all the time. And now, enjoy this conversation with Michael Malus in the Tupac-Galove language that I'm increasingly certain I'll never quite able to get the hang of."
"Tomaso Poggio: Brains, Minds, and Machines | Lex Fridman Podcast #13","What aspect of Einstein's genius, the natu, did you like about him? Tommaso Poggio: The natu is the fact that he was able to explain the nature of the universe. He was able to explain the laws of physics. He was able to explain the laws of biology. He was able to explain the laws of chemistry. He was able to explain the laws of biology. He was able to explain the laws of physics. He was able to explain the laws of chemistry. He was able to explain the laws of biology. He was able to explain the laws of physics. He was able to explain the laws of biology. He was able to explain the laws of chemistry. He was able to explain the laws of biology. He was able to explain the laws of physics. He was able to explain the laws of biology. He was able to explain the laws of chemistry. He was able to explain the laws of biology. He was able to explain the laws of biology. He was able to explain the laws of biology. He was able to explain the laws of biology."
"George Hotz: Comma.ai, OpenPilot, and Autonomous Vehicles | Lex Fridman Podcast #31","I think we're living in a simulation, but I think we're living in a simulation, but I think we're living in a simulation, but I think we're living in a simulation, but I think we're living in a simulation, but I think we're living in a simulation, but I think we're living in a simulation, but I think we're living in a simulation, but I think we're living in a simulation, but I think we're living in a simulation, but I think we're living in a simulation, but I think we're living in a simulation, but I think we're living in a simulation, but I think we're living in a simulation, but I think we're living in a simulation, but I think we're living in a simulation, but I think we're living in a simulation, but I think we're living in a simulation, but I think we're living in a simulation, but I think we're living in a simulation, but I think we're living in a simulation, but I think we'"
"Tim Dillon: Comedy, Power, Conspiracy Theories, and Freedom | Lex Fridman Podcast #156","A conversation with Tim Dillon, a standup comedian who is fearless in challenging the norms of modern day social and political discourse. Quick mention of our sponsors, NetSuite Business Management Software, Athletic Greens All-in-One Nutrition Drink, Magic Spoon Low Carb Cereal, Better Help Online Therapy, and Rev Speech to Text Service. So the choices business, health, sanity, or transcripts. Choose wisely, my friends. And as a side note, let me say that I will continue talking to scientists, engineers, historians, mathematicians, and so on. But I will also talk to the people who Jack Kerouac called the mad ones in his book On the Road. That is one of my favorite books. He wrote, the only people for me are the mad ones, the ones who never yawn or say a commonplace thing, but burn, burn like fabulous ye."
